"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"entrezgene"	"ensembl_gene_id"
"1"	"chr19"	58856544	58864865	8322	"-"	"A1BG"	1	"ENSG00000121410"
"2"	"chr12"	9220260	9268825	48566	"-"	"A2M"	2	"ENSG00000175899"
"3"	"chr8"	18027986	18081198	53213	"+"	"NAT1"	9	"ENSG00000171428"
"4"	"chr8"	18248755	18258728	9974	"+"	"NAT2"	10	"ENSG00000156006"
"5"	"chr14"	95058395	95090983	32589	"+"	"RP11-986E7.7"	12	"ENSG00000273259"
"6"	"chr3"	151531825	151546276	14452	"+"	"AADAC"	13	"ENSG00000114771"
"7"	"chr2"	219128850	219134980	6131	"-"	"AAMP"	14	"ENSG00000127837"
"8"	"chr17"	74449433	74466199	16767	"+"	"AANAT"	15	"ENSG00000129673"
"9"	"chr16"	70286198	70323446	37249	"-"	"AARS"	16	"ENSG00000090861"
"10"	"chr16"	8768422	8878432	110011	"+"	"ABAT"	18	"ENSG00000183044"
"11"	"chr9"	107543283	107690518	147236	"-"	"ABCA1"	19	"ENSG00000165029"
"12"	"chr9"	139901686	139923367	21682	"-"	"ABCA2"	20	"ENSG00000107331"
"13"	"chr16"	2325882	2390747	64866	"-"	"ABCA3"	21	"ENSG00000167972"
"14"	"chrX"	74273115	74376567	103453	"-"	"ABCB7"	22	"ENSG00000131269"
"15"	"chr6"	30539153	30564956	25804	"+"	"ABCF1"	23	"ENSG00000204574"
"16"	"chr1"	94458393	94586688	128296	"-"	"ABCA4"	24	"ENSG00000198691"
"17"	"chr9"	133589333	133763062	173730	"+"	"ABL1"	25	"ENSG00000097007"
"18"	"chr7"	150521715	150558592	36878	"+"	"AOC1"	26	"ENSG00000002726"
"19"	"chr1"	179068462	179198819	130358	"-"	"ABL2"	27	"ENSG00000143322"
"20"	"chr9"	136125788	136150617	24830	"-"	"ABO"	28	"ENSG00000175164"
"21"	"chr17"	906758	1132315	225558	"-"	"ABR"	29	"ENSG00000159842"
"22"	"chr3"	38144620	38178733	34114	"-"	"ACAA1"	30	"ENSG00000060971"
"23"	"chr17"	35441923	35766909	324987	"-"	"ACACA"	31	"ENSG00000132142"
"24"	"chr12"	109554400	109706031	151632	"+"	"ACACB"	32	"ENSG00000076555"
"25"	"chr2"	211052663	211090215	37553	"-"	"ACADL"	33	"ENSG00000115361"
"26"	"chr1"	76190036	76253260	63225	"+"	"ACADM"	34	"ENSG00000117054"
"27"	"chr12"	121163538	121177811	14274	"+"	"ACADS"	35	"ENSG00000122971"
"28"	"chr10"	124768495	124817827	49333	"+"	"ACADSB"	36	"ENSG00000196177"
"29"	"chr17"	7120444	7128592	8149	"+"	"ACADVL"	37	"ENSG00000072778"
"30"	"chr11"	107992243	108018503	26261	"+"	"ACAT1"	38	"ENSG00000075239"
"31"	"chr6"	160181360	160200144	18785	"+"	"ACAT2"	39	"ENSG00000120437"
"32"	"chr17"	31340105	32501983	1161879	"-"	"ASIC2"	40	"ENSG00000108684"
"33"	"chr12"	50451331	50477394	26064	"+"	"ASIC1"	41	"ENSG00000110881"
"34"	"chr7"	100487615	100494594	6980	"-"	"ACHE"	43	"ENSG00000087085"
"35"	"chr17"	40023161	40086795	63635	"-"	"ACLY"	47	"ENSG00000131473"
"36"	"chr9"	32384618	32454767	70150	"+"	"ACO1"	48	"ENSG00000122729"
"37"	"chr22"	51176624	51183762	7139	"+"	"ACR"	49	"ENSG00000100312"
"38"	"chr22"	41865129	41924993	59865	"+"	"ACO2"	50	"ENSG00000100412"
"39"	"chr17"	73937588	73975515	37928	"-"	"ACOX1"	51	"ENSG00000161533"
"40"	"chr2"	264140	278283	14144	"+"	"ACP1"	52	"ENSG00000143727"
"41"	"chr11"	47260853	47270457	9605	"-"	"ACP2"	53	"ENSG00000134575"
"42"	"chr19"	11685475	11689823	4349	"-"	"ACP5"	54	"ENSG00000102575"
"43"	"chr3"	132036211	132087142	50932	"+"	"ACPP"	55	"ENSG00000014257"
"44"	"chr11"	125541417	125551018	9602	"-"	"ACRV1"	56	"ENSG00000134940"
"45"	"chr1"	229566992	229569845	2854	"-"	"ACTA1"	58	"ENSG00000143632"
"46"	"chr10"	90694831	90751147	56317	"-"	"ACTA2"	59	"ENSG00000107796"
"47"	"chr17"	79476997	79490873	13877	"-"	"ACTG1"	60	"ENSG00000184009"
"48"	"chr15"	35080297	35088340	8044	"-"	"ACTC1"	70	"ENSG00000159251"
"49"	"chr17"	79476997	79490873	13877	"-"	"ACTG1"	71	"ENSG00000184009"
"50"	"chr2"	74119441	74146992	27552	"+"	"ACTG2"	72	"ENSG00000163017"
"51"	"chr19"	39138289	39222223	83935	"+"	"ACTN4"	81	"ENSG00000130402"
"52"	"chr3"	179280668	179306196	25529	"+"	"ACTL6A"	86	"ENSG00000136518"
"53"	"chr14"	69340860	69446157	105298	"-"	"ACTN1"	87	"ENSG00000072110"
"54"	"chr1"	236849754	236927931	78178	"+"	"ACTN2"	88	"ENSG00000077522"
"55"	"chr11"	66313866	66330800	16935	"+"	"ACTN3"	89	"ENSG00000248746"
"56"	"chr2"	158592958	158732374	139417	"-"	"ACVR1"	90	"ENSG00000115170"
"57"	"chr12"	52345451	52390862	45412	"+"	"ACVR1B"	91	"ENSG00000135503"
"58"	"chr2"	148602086	148688393	86308	"+"	"ACVR2A"	92	"ENSG00000121989"
"59"	"chr3"	38495342	38534633	39292	"+"	"ACVR2B"	93	"ENSG00000114739"
"60"	"chr12"	52300692	52317145	16454	"+"	"ACVRL1"	94	"ENSG00000139567"
"61"	"chr3"	52009066	52023213	14148	"+"	"ACY1"	95	"ENSG00000243989"
"62"	"chr14"	75519924	75536186	16263	"-"	"ACYP1"	97	"ENSG00000119640"
"63"	"chr2"	54197975	54532437	334463	"+"	"ACYP2"	98	"ENSG00000170634"
"64"	"chr20"	43248163	43280874	32712	"-"	"ADA"	100	"ENSG00000196839"
"65"	"chr10"	135075907	135090372	14466	"-"	"ADAM8"	101	"ENSG00000151651"
"66"	"chr15"	58887403	59042177	154775	"-"	"ADAM10"	102	"ENSG00000137845"
"67"	"chr1"	154554538	154600475	45938	"-"	"ADAR"	103	"ENSG00000160710"
"68"	"chr21"	46493768	46646478	152711	"+"	"ADARB1"	104	"ENSG00000197381"
"69"	"chr10"	1228073	1779670	551598	"-"	"ADARB2"	105	"ENSG00000185736"
"70"	"chr7"	45613739	45762715	148977	"+"	"ADCY1"	107	"ENSG00000164742"
"71"	"chr5"	7396321	7830194	433874	"+"	"ADCY2"	108	"ENSG00000078295"
"72"	"chr2"	25042038	25142708	100671	"-"	"ADCY3"	109	"ENSG00000138031"
"73"	"chr3"	123001143	123168605	167463	"-"	"ADCY5"	111	"ENSG00000173175"
"74"	"chr12"	49159975	49182820	22846	"-"	"ADCY6"	112	"ENSG00000174233"
"75"	"chr16"	50280048	50352046	71999	"+"	"ADCY7"	113	"ENSG00000121281"
"76"	"chr8"	131792547	132054672	262126	"-"	"ADCY8"	114	"ENSG00000155897"
"77"	"chr16"	4003388	4166186	162799	"-"	"ADCY9"	115	"ENSG00000162104"
"78"	"chr18"	904944	912173	7230	"+"	"ADCYAP1"	116	"ENSG00000141433"
